,0,1,2,3
0,0.5631558681278533,0.837563223682485,0.06578877943320982,0.14018027509155861
1,0.35280619134704283,0.16377949774867073,0.8391246011062482,0.3383635958611434
2,0.1743874776565908,0.8081686508423181,0.8994359162734333,0.329138537619446
3,0.5513409473788403,0.06988653495541552,0.46304735811509,0.08876248342770554
4,0.7194930765031659,0.40431397497892385,0.15417563350171315,0.2864689123153523
5,0.551817911223871,0.3350747054149803,0.10790476812511895,0.630463834841854
6,0.5527792208894483,0.7177238588865428,0.7626262725159056,0.9820571654384792
7,0.7775402422413634,0.29284325785954324,0.880451199216134,0.8517740182733475
8,0.10937807960925083,0.5636214703184236,0.05935273424854348,0.9004308969711535
9,0.14502072869883598,0.45487460719295547,0.4305893716072561,0.7845228987975879
